Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
Copenhagen Business School,Denmark,2019,201,250,53.0,49.5,24.8,32.3,88.0,41.3,92.2,17003,30.6,0.25,0.48,51.4775,223.0
University of Dundee,United Kingdom,2019,201,250,53.0,49.5,23.7,30.5,94.1,46.8,80.3,10960,15.5,0.23,0.62,51.6825,219.0
École des Ponts ParisTech,France,2019,201,250,53.0,49.5,40.1,25.6,76.8,59.8,82.7,1943,13.4,0.47,0.31,50.4475,234.0
École Normale Supérieure de Lyon,France,2019,201,250,53.0,49.5,42.7,41.2,70.3,43.7,64.9,2207,8.2,0.13,0.46,52.220000000000006,212.0
University of Fribourg,Switzerland,2019,201,250,53.0,49.5,33.9,34.4,73.3,60.3,87.5,10850,45.6,0.18,0.59,50.55,232.0
University of Gothenburg,Sweden,2019,201,250,53.0,49.5,25.8,39.8,92.0,39.4,62.9,18873,9.9,0.12,,52.9825,203.0
University of Hawai’i at Mānoa,United States,2019,201,250,53.0,49.5,35.5,37.1,75.0,50.6,64.4,15750,11.0,0.11,0.56,50.375,238.0
Hebrew University of Jerusalem,Israel,2019,201,250,53.0,49.5,45.0,44.0,64.9,40.6,59.4,16492,11.5,0.05,0.56,51.64,220.0
University of Hohenheim,Germany,2019,201,250,53.0,49.5,33.3,29.2,86.0,56.8,54.5,9373,41.8,0.15,0.57,50.0575,242.0
University of Iowa,United States,2019,201,250,53.0,49.5,42.9,33.8,81.3,54.6,37.1,27897,12.3,0.13,0.52,51.54749999999999,222.0
James Cook University,Australia,2019,201,250,53.0,49.5,23.5,27.2,91.9,41.9,75.4,11882,22.3,0.12,0.63,49.4825,251.0
University of Kiel,Germany,2019,201,250,53.0,49.5,30.9,27.0,92.8,34.0,54.1,25957,22.2,0.08,0.53,50.11749999999999,241.0
King Abdulaziz University,Saudi Arabia,2019,201,250,53.0,49.5,27.8,16.3,99.0,77.2,92.9,33111,8.0,0.21,0.55,51.8275,217.0
Université Libre de Bruxelles,Belgium,2019,201,250,53.0,49.5,29.4,41.8,79.9,43.6,85.9,26936,35.9,0.35,0.55,52.862500000000004,206.0
University of Luxembourg,Luxembourg,2019,201,250,53.0,49.5,29.5,30.6,87.7,42.8,99.7,4969,16.5,0.57,0.5,52.8875,205.0
Macquarie University,Australia,2019,201,250,53.0,49.5,33.4,37.3,71.3,46.2,81.6,28729,43.8,0.26,0.53,49.87499999999999,246.0
University of Massachusetts,United States,2019,201,250,53.0,49.5,36.6,28.7,89.5,50.0,58.4,59906,12.8,0.14,0.48,52.07,213.0
Medical University of Graz,Austria,2019,201,250,53.0,49.5,30.2,24.4,89.0,63.3,73.2,3368,10.7,0.23,0.53,50.1525,239.0
Medical University of Vienna,Austria,2019,201,250,53.0,49.5,32.1,21.9,90.5,49.7,78.8,7086,7.9,0.29,0.51,50.50249999999999,233.0
University of Miami,United States,2019,201,250,53.0,49.5,41.6,25.2,86.2,39.3,60.4,15923,5.9,0.16,0.51,51.4125,226.0
University of Otago,New Zealand,2019,201,250,53.0,49.5,27.9,30.7,82.6,37.4,89.5,18283,20.1,0.2,0.58,50.0075,243.0
University of Padua,Italy,2019,201,250,53.0,49.5,39.9,27.7,83.7,37.5,42.4,43289,20.9,0.04,0.55,49.5075,250.0
Paris-Sud University,France,2019,201,250,53.0,49.5,36.5,33.7,87.6,34.3,64.5,29509,16.3,0.17,0.56,53.035000000000004,201.0
University of Passau,Germany,2019,201,250,53.0,49.5,31.4,35.9,89.1,44.3,57.0,10465,72.2,0.11,0.6,52.302499999999995,211.0
University of Potsdam,Germany,2019,201,250,53.0,49.5,37.2,39.2,74.3,43.1,55.3,19294,56.8,0.1,0.59,50.435,235.0
Queen’s University Belfast,United Kingdom,2019,201,250,53.0,49.5,27.5,32.6,87.6,38.7,96.3,17657,16.9,0.35,0.55,52.5,209.0
Queensland University of Technology,Australia,2019,201,250,53.0,49.5,28.6,37.9,81.3,56.7,79.9,33931,35.3,0.16,0.54,51.74999999999999,218.0
University of Reading,United Kingdom,2019,201,250,53.0,49.5,34.3,34.3,75.8,39.0,91.2,13394,14.3,0.33,0.57,51.135,229.0
Royal College of Surgeons in Ireland (RCSI),Ireland,2019,201,250,53.0,49.5,30.7,24.5,91.3,45.7,91.5,2202,19.1,0.68,,51.95499999999999,215.0
University of South Australia,Australia,2019,201,250,53.0,49.5,30.5,37.1,68.1,79.7,92.9,17465,26.1,0.44,0.64,49.669999999999995,248.0
University of Tampere,Finland,2019,201,250,53.0,49.5,28.0,32.5,91.0,50.7,43.7,9484,21.8,0.05,0.66,49.995000000000005,244.0
Tel Aviv University,Israel,2019,201,250,53.0,49.5,43.3,52.0,64.4,43.5,51.2,22878,22.9,0.05,0.54,52.8375,207.0
Tilburg University,Netherlands,2019,201,250,53.0,49.5,38.7,48.1,66.2,54.3,76.6,7666,21.2,0.14,0.48,53.0025,202.0
Ulsan National Institute of Science and Technology,South Korea,2019,201,250,53.0,49.5,24.5,34.5,96.3,70.1,49.7,4255,13.5,0.08,0.27,52.06999999999999,214.0
University College Dublin,Ireland,2019,201,250,53.0,49.5,30.7,36.6,76.4,40.6,91.3,22081,23.5,0.27,,50.9725,230.0
University of Utah,United States,2019,201,250,53.0,49.5,36.5,33.7,88.9,40.7,33.4,30036,14.1,0.09,0.45,51.252500000000005,227.0
Vita-Salute San Raffaele University,Italy,2019,201,250,53.0,49.5,36.5,23.8,97.1,35.1,46.0,2745,7.3,0.05,0.59,51.5475,221.0
University of Waterloo,Canada,2019,201,250,53.0,49.5,32.2,39.7,69.3,43.3,82.4,32395,23.7,0.18,0.46,49.6225,249.0
William & Mary,United States,2019,201,250,53.0,49.5,47.8,19.8,86.7,34.6,34.5,8098,11.8,0.09,0.55,49.7425,247.0
University of the Witwatersrand,South Africa,2019,201,250,53.0,49.5,27.7,40.8,81.0,100.0,74.2,28279,26.1,0.08,0.56,52.91499999999999,204.0
University of Wollongong,Australia,2019,201,250,53.0,49.5,30.3,33.5,75.7,52.8,90.9,18209,31.2,0.26,0.51,49.987500000000004,245.0
Yonsei University (Seoul campus),South Korea,2019,201,250,53.0,49.5,50.8,51.1,50.6,97.2,56.9,17875,14.7,0.22,0.46,52.4475,210.0
Brighton and Sussex Medical School,United Kingdom,2019,251,300,49.4,46.4,21.0,19.0,100.0,34.0,74.2,795,11.3,0.15,0.57,48.415,270.0
University of Canberra,Australia,2019,251,300,49.4,46.4,20.0,27.7,95.0,37.4,68.0,10098,29.2,0.29,0.52,48.845000000000006,262.0
University of Cincinnati,United States,2019,251,300,49.4,46.4,37.2,31.0,82.6,40.5,39.8,28049,20.5,0.09,0.52,49.2375,255.0
Clark University,United States,2019,251,300,49.4,46.4,25.1,25.5,89.2,34.3,58.9,3136,11.9,0.25,0.6,47.214999999999996,295.0
Colorado School of Mines,United States,2019,251,300,49.4,46.4,32.9,27.8,84.4,50.5,42.7,5556,16.7,0.12,0.28,47.995000000000005,278.0
Dalhousie University,Canada,2019,251,300,49.4,46.4,25.5,29.0,79.0,45.6,83.7,15150,14.7,0.21,0.55,47.4675,291.0
University of Delaware,United States,2019,251,300,49.4,46.4,28.5,37.4,77.4,91.5,46.2,20348,16.9,0.1,0.57,48.7425,263.0
University of Essex,United Kingdom,2019,251,300,49.4,46.4,31.8,31.7,68.3,34.8,96.6,11132,15.7,0.41,0.55,47.65499999999999,287.0
Flinders University,Australia,2019,251,300,49.4,46.4,25.7,29.6,78.7,37.6,86.7,15939,24.1,0.31,0.64,47.6425,288.0
Florida State University,United States,2019,251,300,49.4,46.4,38.4,40.0,70.9,39.5,43.0,38661,24.5,0.07,0.56,49.0025,259.0
Goethe University Frankfurt,Germany,2019,251,300,49.4,46.4,34.0,29.6,76.5,43.8,59.1,45826,19.9,0.15,0.57,47.5575,289.0
Griffith University,Australia,2019,251,300,49.4,46.4,24.5,31.3,79.9,42.8,82.9,31574,22.2,0.19,0.57,47.99750000000001,277.0
University of Iceland,Iceland,2019,251,300,49.4,46.4,19.3,29.6,86.9,57.9,62.6,8276,14.1,0.11,0.66,46.8825,296.0
University of Illinois at Chicago,United States,2019,251,300,49.4,46.4,44.6,30.8,71.4,42.7,55.3,25705,11.2,0.19,0.52,49.25500000000001,254.0
Indian Institute of Science,India,2019,251,300,49.4,46.4,56.7,51.4,41.7,50.7,20.2,4071,9.4,0.01,0.21,47.7225,285.0
Jacobs University,Germany,2019,251,300,49.4,46.4,40.7,33.0,62.4,60.0,83.1,1114,16.6,0.69,0.44,48.5625,267.0
Johannes Gutenberg University of Mainz,Germany,2019,251,300,49.4,46.4,36.7,23.0,80.3,64.0,55.8,32359,28.0,0.11,0.59,47.785000000000004,282.0
Laval University,Canada,2019,251,300,49.4,46.4,38.7,29.5,69.9,58.8,68.7,29588,16.9,0.13,0.57,48.05250000000001,275.0
University of Marburg,Germany,2019,251,300,49.4,46.4,36.1,25.7,81.6,38.8,50.9,25942,35.7,0.1,0.55,47.8075,281.0
Moscow Institute of Physics and Technology,Russian Federation,2019,251,300,49.4,46.4,50.4,43.5,47.6,99.9,59.1,5687,10.5,0.15,0.19,49.379999999999995,252.0
University of Navarra,Spain,2019,251,300,49.4,46.4,34.1,24.2,82.0,66.6,63.2,10717,14.7,0.2,0.53,48.495000000000005,268.0
North Carolina State University,United States,2019,251,300,49.4,46.4,37.3,34.3,69.8,43.4,55.9,30190,12.8,0.14,0.45,47.6975,286.0
Oregon Health and Science University,United States,2019,251,300,49.4,46.4,35.1,16.5,99.5,45.0,25.6,2899,1.0,0.03,0.65,48.375,271.0
Osaka University,Japan,2019,251,300,49.4,46.4,54.7,51.2,35.7,58.4,33.4,23173,7.8,0.1,0.31,46.44500000000001,300.0
University of Oulu,Finland,2019,251,300,49.4,46.4,32.5,31.3,75.1,42.0,53.7,9764,23.5,0.07,0.5,46.7475,297.0
Queen’s University,Canada,2019,251,300,49.4,46.4,39.3,34.4,65.5,44.7,65.3,22884,24.7,0.12,0.58,47.775,283.0
"Royal Holloway, University of London",United Kingdom,2019,251,300,49.4,46.4,30.4,26.7,80.0,37.3,92.9,9099,14.9,0.39,0.6,49.029999999999994,258.0
Ruhr University Bochum,Germany,2019,251,300,49.4,46.4,38.6,42.9,59.9,56.7,53.8,42425,61.2,0.14,0.49,47.872499999999995,280.0
"St George’s, University of London",United Kingdom,2019,251,300,49.4,46.4,21.6,21.3,99.1,36.5,73.2,3240,15.3,0.19,0.62,49.0025,259.0
University of São Paulo,Brazil,2019,251,300,49.4,46.4,55.9,53.5,37.0,39.5,32.7,82962,15.3,0.04,0.48,47.36,293.0
Sapienza University of Rome,Italy,2019,251,300,49.4,46.4,38.0,38.3,70.4,44.2,39.6,68282,21.8,0.06,0.57,48.085,274.0
Simon Fraser University,Canada,2019,251,300,49.4,46.4,24.6,33.4,75.4,47.0,91.2,26313,27.3,0.3,0.55,48.035,276.0
