Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
Charles Darwin University,Australia,2019,501,600,37.0,33.5,19.5,26.4,49.6,44.4,80.8,6537,25.7,0.34,0.64,35.82,538.0
Chemnitz University of Technology,Germany,2019,501,600,37.0,33.5,34.5,25.2,34.1,61.1,52.2,10831,47.3,0.22,0.42,33.5825,597.0
"China Medical University, Taiwan",Taiwan,2019,501,600,37.0,33.5,24.4,36.0,47.5,84.9,32.0,7730,17.0,0.1,0.54,36.8925,505.0
Chung-Ang University,South Korea,2019,501,600,37.0,33.5,38.8,36.3,25.4,65.3,49.3,13815,18.9,0.18,,35.48,546.0
University of Coimbra,Portugal,2019,501,600,37.0,33.5,22.7,26.3,46.3,40.1,56.3,21236,17.4,0.17,0.56,33.81499999999999,589.0
Creighton University,United States,2019,501,600,37.0,33.5,40.5,11.4,58.0,36.2,31.7,8281,11.5,0.1,0.62,36.2525,527.0
East China Normal University,China,2019,501,600,37.0,33.5,25.8,21.0,48.4,49.8,55.3,25237,11.5,0.17,0.66,33.95249999999999,585.0
Edith Cowan University,Australia,2019,501,600,37.0,33.5,17.4,20.8,58.9,37.7,81.7,17100,36.0,0.26,0.6,36.2,529.0
University of Graz,Austria,2019,501,600,37.0,33.5,20.2,18.4,51.2,35.1,76.8,20586,22.2,0.14,0.64,33.57749999999999,598.0
University of Guelph,Canada,2019,501,600,37.0,33.5,25.1,28.7,48.8,49.8,55.2,21644,27.8,0.05,0.59,36.165,530.0
Hacettepe University,Turkey,2019,501,600,37.0,33.5,32.6,11.4,58.8,35.8,24.4,42827,19.9,0.04,0.57,33.565,599.0
University of Hull,United Kingdom,2019,501,600,37.0,33.5,23.1,21.5,55.6,36.1,74.3,13433,16.9,0.18,0.53,36.535000000000004,516.0
Hunan University,China,2019,501,600,37.0,33.5,22.2,21.2,61.2,52.0,20.4,42692,22.5,0.02,0.45,34.209999999999994,577.0
University of Idaho,United States,2019,501,600,37.0,33.5,31.8,20.3,50.7,36.0,44.2,9675,17.2,0.08,0.48,35.055,558.0
Indian Institute of Technology Delhi,India,2019,501,600,37.0,33.5,43.3,19.8,48.5,52.6,17.4,8130,14.9,0.01,0.16,36.099999999999994,532.0
Indian Institute of Technology Kanpur,India,2019,501,600,37.0,33.5,37.8,24.6,38.0,98.2,19.0,6609,15.2,0.01,0.14,34.0,584.0
Indian Institute of Technology Kharagpur,India,2019,501,600,37.0,33.5,36.6,30.7,43.2,59.9,21.8,9397,13.9,,0.14,36.2825,526.0
ITMO University,Russian Federation,2019,501,600,37.0,33.5,30.7,20.5,48.0,68.5,54.6,10268,9.3,0.15,0.38,35.567499999999995,542.0
Johannes Kepler University of Linz,Austria,2019,501,600,37.0,33.5,34.7,17.7,48.5,54.8,62.6,6345,11.1,0.11,0.52,36.334999999999994,522.0
University of Kashan,Iran,2019,501,600,37.0,33.5,16.1,16.9,74.3,35.1,18.3,7844,25.7,0.04,0.55,34.44,573.0
Keele University,United Kingdom,2019,501,600,37.0,33.5,20.0,22.4,58.9,35.3,73.6,8505,14.7,0.21,0.57,36.7925,507.0
Kent State University,United States,2019,501,600,37.0,33.5,21.3,17.5,63.7,34.1,40.8,24469,19.3,0.1,0.59,34.6625,566.0
King Saud University,Saudi Arabia,2019,501,600,37.0,33.5,23.7,28.2,39.4,93.3,80.9,38917,11.0,0.1,0.51,35.79,539.0
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,2019,501,600,37.0,33.5,31.0,7.4,62.1,35.2,65.9,8122,4.4,0.01,0.47,35.972500000000004,536.0
University of La Laguna,Spain,2019,501,600,37.0,33.5,24.3,11.5,62.3,35.1,46.7,18736,13.1,0.04,0.58,33.809999999999995,590.0
Lappeenranta University of Technology,Finland,2019,501,600,37.0,33.5,26.4,29.9,35.9,52.6,60.4,3670,24.6,0.2,0.31,33.504999999999995,600.0
Lehigh University,United States,2019,501,600,37.0,33.5,28.1,19.9,58.4,38.4,42.2,6443,11.2,0.17,0.44,36.045,534.0
University of Limerick,Ireland,2019,501,600,37.0,33.5,19.2,21.9,52.1,38.3,83.3,13969,21.4,0.17,0.48,35.165,554.0
Lincoln University,New Zealand,2019,501,600,37.0,33.5,23.0,19.6,43.5,52.4,93.1,2426,13.2,0.38,0.49,34.1225,580.0
University of Lisbon,Portugal,2019,501,600,37.0,33.5,23.1,25.6,52.4,38.8,52.3,50170,18.7,0.11,0.5,35.2225,553.0
Liverpool John Moores University,United Kingdom,2019,501,600,37.0,33.5,15.2,16.1,66.7,34.7,69.9,18752,17.5,0.13,0.54,35.510000000000005,545.0
Louisiana State University,United States,2019,501,600,37.0,33.5,33.0,22.4,54.6,34.0,34.5,29533,20.5,0.06,0.52,36.4375,518.0
Makerere University,Uganda,2019,501,600,37.0,33.5,15.8,12.2,69.2,40.0,59.4,38596,29.2,0.08,0.52,34.615,567.0
"University of Maryland, Baltimore County",United States,2019,501,600,37.0,33.5,23.4,18.1,62.3,35.6,33.8,11647,18.6,0.08,0.45,34.565,570.0
Massey University,New Zealand,2019,501,600,37.0,33.5,20.1,17.2,50.2,40.2,92.8,18944,15.7,0.3,0.62,34.215,576.0
Memorial University of Newfoundland,Canada,2019,501,600,37.0,33.5,18.5,18.5,62.8,49.4,71.4,15154,13.8,0.16,0.57,36.53,517.0
Missouri University of Science and Technology,United States,2019,501,600,37.0,33.5,23.7,23.8,54.7,53.8,61.0,8135,22.7,0.15,0.23,36.58,513.0
Montana State University,United States,2019,501,600,37.0,33.5,17.7,18.5,71.1,48.5,28.3,14192,18.8,0.04,0.46,35.525,544.0
Nanjing University of Information Science and Technology,China,2019,501,600,37.0,33.5,15.2,13.7,73.1,38.0,28.6,19265,14.6,0.03,,33.695,592.0
National and Kapodistrian University of Athens,Greece,2019,501,600,37.0,33.5,22.4,14.0,62.3,51.4,51.0,54364,27.5,0.11,0.62,34.72,563.0
National Cheng Kung University (NCKU),Taiwan,2019,501,600,37.0,33.5,30.9,38.7,26.0,99.7,33.6,20511,13.7,0.12,0.36,33.6925,593.0
National Chiao Tung University,Taiwan,2019,501,600,37.0,33.5,36.4,40.9,27.5,86.3,33.8,12053,16.8,0.12,0.28,36.13249999999999,531.0
National Yang-Ming University,Taiwan,2019,501,600,37.0,33.5,41.5,19.4,46.5,38.6,21.1,4255,5.1,0.02,0.48,34.767500000000005,562.0
University of Neuchâtel,Switzerland,2019,501,600,37.0,33.5,25.0,20.4,45.3,35.6,91.3,4352,9.0,0.22,0.59,34.9475,560.0
New Jersey Institute of Technology,United States,2019,501,600,37.0,33.5,18.0,15.4,64.2,35.9,58.1,12044,19.8,0.19,0.24,34.535000000000004,572.0
Norwegian University of Life Sciences,Norway,2019,501,600,37.0,33.5,25.5,10.4,63.8,38.8,80.1,5700,6.9,0.23,0.6,36.887499999999996,506.0
NOVA University of Lisbon,Portugal,2019,501,600,37.0,33.5,26.4,24.5,45.6,46.8,59.9,19885,18.6,0.17,0.5,34.6125,568.0
Novosibirsk State University,Russian Federation,2019,501,600,37.0,33.5,41.0,29.4,34.5,36.7,43.5,7250,6.4,0.19,0.57,35.65,540.0
Oklahoma State University,United States,2019,501,600,37.0,33.5,26.0,19.6,60.9,37.0,42.9,21638,15.6,0.07,0.49,36.092499999999994,533.0
The Open University,United Kingdom,2019,501,600,37.0,33.5,18.5,16.4,68.5,34.4,54.4,64638,34.0,0.08,0.61,35.96,537.0
Oxford Brookes University,United Kingdom,2019,501,600,37.0,33.5,30.4,26.1,44.6,34.4,77.4,14006,16.7,0.28,0.59,36.995,503.0
University of Palermo,Italy,2019,501,600,37.0,33.5,17.9,16.6,71.3,35.1,26.3,28801,19.5,0.01,0.58,34.58999999999999,569.0
Panthéon-Sorbonne University – Paris 1,France,2019,501,600,37.0,33.5,48.1,38.0,9.6,34.4,54.0,40917,33.7,0.2,0.6,33.62,596.0
University of Parma,Italy,2019,501,600,37.0,33.5,17.2,17.6,68.1,40.7,37.7,24346,26.3,0.06,0.56,34.714999999999996,565.0
Universidad Peruana Cayetano Heredia,Peru,2019,501,600,37.0,33.5,15.4,11.5,76.3,34.7,45.9,5885,12.1,,0.6,35.269999999999996,550.0
University of the Philippines,Philippines,2019,501,600,37.0,33.5,21.7,16.4,69.1,35.8,39.5,45410,9.7,0.01,0.53,36.0175,535.0
Polytechnic University of Catalonia,Spain,2019,501,600,37.0,33.5,29.7,17.3,53.7,40.9,56.2,21591,9.1,0.14,0.28,35.4475,547.0
Pontifical Javeriana University,Colombia,2019,501,600,37.0,33.5,14.4,8.6,84.0,34.1,44.6,29643,16.4,0.01,0.56,36.2975,525.0
Renmin University of China,China,2019,501,600,37.0,33.5,42.5,20.3,44.4,44.9,44.9,25168,11.8,0.06,,36.65,510.0
Saint Louis University,United States,2019,501,600,37.0,33.5,36.6,14.9,60.5,36.3,28.5,11220,7.3,0.07,0.59,36.644999999999996,511.0
Saint Petersburg State University,Russian Federation,2019,501,600,37.0,33.5,48.3,28.6,23.5,35.5,38.9,21644,7.3,0.11,0.64,33.925000000000004,587.0
University of Salento,Italy,2019,501,600,37.0,33.5,28.0,18.6,61.6,37.8,26.4,11927,28.4,0.01,0.63,35.385,549.0
San Diego State University,United States,2019,501,600,37.0,33.5,23.4,23.4,58.0,34.8,32.1,29974,30.3,0.08,0.55,34.717499999999994,564.0
Savitribai Phule Pune University,India,2019,501,600,37.0,33.5,38.8,15.4,50.7,35.6,17.6,6186,15.3,0.02,0.46,33.68,594.0
Sejong University,South Korea,2019,501,600,37.0,33.5,24.6,19.7,60.0,38.1,38.4,11886,16.4,0.09,0.47,35.1225,555.0
Shandong University,China,2019,501,600,37.0,33.5,35.9,31.0,32.4,68.6,26.3,46351,13.7,0.06,,33.4775,601.0
Soochow University,China,2019,501,600,37.0,33.5,23.0,19.5,67.5,66.4,27.9,42684,15.2,0.07,0.58,36.7525,508.0
South China University of Technology,China,2019,501,600,37.0,33.5,22.5,27.8,57.5,84.6,28.5,42472,14.5,0.05,0.36,36.59250000000001,512.0
Southeast University,China,2019,501,600,37.0,33.5,29.5,31.4,42.2,95.2,25.9,33063,11.8,0.05,0.4,35.252500000000005,551.0
Southern Cross University,Australia,2019,501,600,37.0,33.5,23.0,21.7,52.6,39.9,64.2,8678,24.5,0.21,0.64,35.0025,559.0
Stevens Institute of Technology,United States,2019,501,600,37.0,33.5,20.8,15.4,60.7,36.4,65.9,5636,16.2,0.35,0.29,34.9225,561.0
Taipei Medical University,Taiwan,2019,501,600,37.0,33.5,26.9,29.2,48.1,96.4,35.1,5895,10.5,0.09,0.57,36.302499999999995,524.0
University of Texas at San Antonio,United States,2019,501,600,37.0,33.5,17.2,19.4,74.8,35.6,35.8,26089,25.1,0.05,0.5,36.995,503.0
Tianjin University,China,2019,501,600,37.0,33.5,32.8,32.8,33.7,94.5,23.6,33429,12.9,0.05,,33.9225,588.0
University of Toledo,United States,2019,501,600,37.0,33.5,36.0,14.3,48.3,43.8,44.7,18238,15.2,0.11,0.5,34.027499999999996,583.0
Tomsk Polytechnic University,Russian Federation,2019,501,600,37.0,33.5,29.4,20.1,52.3,69.5,53.0,9682,8.7,0.26,0.33,36.25249999999999,528.0
Tomsk State University,Russian Federation,2019,501,600,37.0,33.5,41.1,28.6,24.4,51.1,67.4,7673,9.6,0.29,,34.56250000000001,571.0
Universiti Tunku Abdul Rahman (UTAR),Malaysia,2019,501,600,37.0,33.5,13.2,8.9,80.5,35.7,30.4,19179,17.2,0.02,0.52,33.95249999999999,585.0
University of Udine,Italy,2019,501,600,37.0,33.5,26.1,15.5,68.0,37.3,38.9,11472,17.1,0.06,0.53,36.72999999999999,509.0
University of Ulsan,South Korea,2019,501,600,37.0,33.5,19.4,21.8,63.3,49.4,21.6,13523,12.3,0.04,0.46,34.205,578.0
The University of the West Indies,Jamaica,2019,501,600,37.0,33.5,15.7,8.7,68.7,34.0,65.0,43295,12.5,0.04,0.68,33.655,595.0
Worcester Polytechnic Institute,United States,2019,501,600,37.0,33.5,20.9,17.5,62.4,35.0,55.1,5517,12.6,0.22,0.33,35.2475,552.0
Xiamen University,China,2019,501,600,37.0,33.5,30.9,22.1,56.6,48.6,30.9,40507,14.9,0.05,0.49,36.4125,520.0
Xi’an Jiaotong University,China,2019,501,600,37.0,33.5,32.3,27.7,41.8,60.8,40.5,33973,10.8,0.05,0.34,35.097500000000004,556.0
University of the Aegean,Greece,2019,601,800,33.4,26.0,16.8,17.0,47.9,34.8,36.2,12352,38.7,0.01,0.57,28.095,738.0
The University of Aizu,Japan,2019,601,800,33.4,26.0,18.7,11.9,40.3,38.3,67.8,1165,10.5,0.05,0.11,27.312499999999996,759.0
University of Alcalá,Spain,2019,601,800,33.4,26.0,30.4,14.5,37.5,41.0,61.6,17711,12.8,0.22,0.55,30.365,670.0
University of Algarve,Portugal,2019,601,800,33.4,26.0,18.5,12.5,41.1,35.8,58.7,7501,12.4,0.13,0.57,26.927500000000002,772.0
American University in Cairo,Egypt,2019,601,800,33.4,26.0,24.9,23.2,22.2,34.9,66.1,5997,13.7,0.04,0.54,26.919999999999998,774.0
Amrita Vishwa Vidyapeetham,India,2019,601,800,33.4,26.0,22.7,11.1,39.8,48.2,46.8,14395,11.9,0.13,,26.794999999999995,777.0
"University of the Andes, Colombia",Colombia,2019,601,800,33.4,26.0,23.3,13.4,49.2,36.4,51.7,15921,8.7,0.02,0.45,30.5575,666.0
Aristotle University of Thessaloniki,Greece,2019,601,800,33.4,26.0,17.7,15.7,60.3,40.9,40.3,46597,26.3,0.05,0.58,32.155,635.0
University of Arkansas,United States,2019,601,800,33.4,26.0,25.2,20.7,40.1,39.1,31.2,24545,20.3,0.06,0.52,29.117499999999996,708.0
Athens University of Economics and Business,Greece,2019,601,800,33.4,26.0,19.7,21.4,40.5,36.9,44.8,9839,46.9,0.04,0.47,28.762499999999996,715.0
Auburn University,United States,2019,601,800,33.4,26.0,32.8,20.8,34.8,40.7,36.8,24274,18.2,0.06,0.5,30.297499999999992,672.0
Banaras Hindu University,India,2019,601,800,33.4,26.0,31.1,16.5,43.3,34.2,17.6,12220,9.3,0.03,0.27,29.445,700.0
University of the Basque Country,Spain,2019,601,800,33.4,26.0,20.4,16.5,50.0,36.2,40.1,42581,14.6,0.04,0.53,29.9825,679.0
Baylor University,United States,2019,601,800,33.4,26.0,31.1,17.8,41.7,35.1,28.6,16932,16.6,0.05,0.57,30.2025,673.0
Beijing Institute of Technology,China,2019,601,800,33.4,26.0,28.1,28.0,22.8,96.7,23.5,28910,11.8,0.08,0.35,27.849999999999998,745.0
University of Beira Interior,Portugal,2019,601,800,33.4,26.0,17.1,16.1,50.7,34.4,45.1,6909,15.6,0.1,0.52,29.4125,702.0
Ben-Gurion University of the Negev,Israel,2019,601,800,33.4,26.0,29.7,28.2,39.2,45.0,36.6,15133,18.9,0.03,0.53,33.0,614.0
Benha University,Egypt,2019,601,800,33.4,26.0,14.7,7.7,52.1,35.3,39.9,89763,29.0,0.05,0.42,26.224999999999998,791.0
Beni-Suef University,Egypt,2019,601,800,33.4,26.0,15.0,7.1,64.3,34.0,43.3,66543,26.1,0.01,0.44,30.0175,678.0
University of Bradford,United Kingdom,2019,601,800,33.4,26.0,19.5,15.6,30.7,36.4,81.3,9239,16.9,0.28,0.56,26.7475,778.0
University of Brighton,United Kingdom,2019,601,800,33.4,26.0,16.8,13.6,44.6,34.9,73.9,16906,17.5,0.22,0.58,28.915,713.0
Ca’ Foscari University of Venice,Italy,2019,601,800,33.4,26.0,24.7,26.6,37.0,37.1,44.6,16090,34.3,0.09,0.65,30.7625,656.0
University of Cagliari,Italy,2019,601,800,33.4,26.0,17.2,13.2,59.8,36.0,37.0,27885,24.0,0.02,0.59,30.734999999999992,657.0
Carlos III University of Madrid,Spain,2019,601,800,33.4,26.0,26.4,16.0,37.3,37.8,58.6,16917,11.0,0.15,0.43,29.249999999999996,704.0
Catholic University of Portugal,Portugal,2019,601,800,33.4,26.0,19.7,8.0,64.3,36.4,51.9,10904,10.7,0.16,0.6,32.402499999999996,628.0
University of Central Florida,United States,2019,601,800,33.4,26.0,27.8,26.8,44.9,43.3,30.9,54697,36.2,0.03,0.56,33.25,606.0
Central South University,China,2019,601,800,33.4,26.0,27.9,28.3,41.7,92.7,23.4,53069,17.3,0.02,0.41,33.442499999999995,602.0
Chang Gung University,Taiwan,2019,601,800,33.4,26.0,20.7,24.9,30.4,80.9,22.6,7527,12.3,0.04,0.44,26.5175,785.0
Chiba University,Japan,2019,601,800,33.4,26.0,26.6,18.1,32.2,49.8,24.9,13898,10.0,0.05,0.37,26.1825,793.0
University of Chile,Chile,2019,601,800,33.4,26.0,24.3,18.0,34.6,34.0,50.5,39345,17.1,0.06,0.47,27.707500000000003,751.0
China Agricultural University,China,2019,601,800,33.4,26.0,32.4,25.9,41.5,48.9,21.1,19056,11.5,0.01,0.58,32.745,620.0
"China University of Geosciences, Beijing",China,2019,601,800,33.4,26.0,27.7,15.7,39.5,48.2,24.7,18114,17.4,0.01,0.32,27.927499999999995,742.0
University of Clermont Auvergne,France,2019,601,800,33.4,26.0,14.8,9.1,60.1,34.9,59.9,34572,18.3,0.13,0.57,30.565,665.0
COMSATS University Islamabad,Pakistan,2019,601,800,33.4,26.0,15.6,9.0,63.2,34.1,45.5,31413,10.9,0.01,0.25,30.605,663.0
Concordia University,Canada,2019,601,800,33.4,26.0,18.9,25.2,40.7,37.1,81.6,32065,30.6,0.28,0.5,32.4875,626.0
University of Costa Rica,Costa Rica,2019,601,800,33.4,26.0,15.1,7.4,60.7,34.0,48.5,32276,14.3,0.02,0.5,29.4475,699.0
Covenant University,Nigeria,2019,601,800,33.4,26.0,25.6,13.9,36.9,50.6,28.1,9369,18.1,,0.37,26.292499999999997,790.0
Coventry University,United Kingdom,2019,601,800,33.4,26.0,17.0,11.2,39.5,34.1,85.9,25118,14.4,0.45,0.48,27.604999999999997,752.0
Dalian University of Technology,China,2019,601,800,33.4,26.0,23.6,21.8,36.2,81.3,26.0,39075,16.2,0.02,0.35,28.462500000000002,727.0
University of Dayton,United States,2019,601,800,33.4,26.0,30.5,23.3,24.9,39.6,31.8,10116,13.9,0.13,0.52,26.984999999999996,769.0
University of Delhi,India,2019,601,800,33.4,26.0,39.0,18.5,29.1,34.1,19.1,22854,23.8,0.01,0.47,28.265,734.0
De Montfort University,United Kingdom,2019,601,800,33.4,26.0,16.4,14.0,42.9,34.2,69.7,17131,19.2,0.25,0.57,28.072499999999998,739.0
University of Deusto,Spain,2019,601,800,33.4,26.0,29.3,24.8,29.8,38.2,46.9,8665,21.3,0.11,0.59,29.64249999999999,692.0
East China University of Science and Technology,China,2019,601,800,33.4,26.0,21.6,16.8,43.7,51.7,17.1,21602,11.9,0.01,0.4,27.205000000000002,763.0
Eastern Mediterranean University,Northern Cyprus,2019,601,800,33.4,26.0,18.2,14.6,47.8,34.0,82.3,19694,30.6,0.84,0.37,31.2025,651.0
École Centrale de Lyon,France,2019,601,800,33.4,26.0,32.0,18.4,23.7,64.2,68.7,1938,15.6,0.29,0.26,28.987499999999997,710.0
École Normale Supérieure de Cachan,France,2019,601,800,33.4,26.0,34.6,23.6,32.0,46.2,55.5,1830,11.7,0.15,0.3,32.377500000000005,629.0
Edinburgh Napier University,United Kingdom,2019,601,800,33.4,26.0,15.8,13.1,44.1,36.2,79.2,11156,20.0,0.32,0.56,28.745,717.0
Embry-Riddle Aeronautical University,United States,2019,601,800,33.4,26.0,14.9,8.6,77.6,34.2,29.9,16010,17.3,0.1,0.17,33.427499999999995,603.0
Eötvös Loránd University,Hungary,2019,601,800,33.4,26.0,19.9,18.3,44.5,35.5,52.9,27267,19.4,0.1,0.65,29.665000000000003,691.0
Ewha Womans University,South Korea,2019,601,800,33.4,26.0,29.1,27.4,34.1,69.7,45.2,14893,14.3,0.14,1.0,32.3125,630.0
Federal University of Minas Gerais,Brazil,2019,601,800,33.4,26.0,29.3,16.8,42.5,38.3,25.4,44108,13.3,0.02,0.53,29.4425,701.0
Federal University of Rio de Janeiro,Brazil,2019,601,800,33.4,26.0,33.4,21.4,23.6,35.2,29.0,55109,14.0,0.02,0.54,26.574999999999996,783.0
Federal University of Rio Grande do Sul,Brazil,2019,601,800,33.4,26.0,31.7,14.1,40.5,48.1,24.9,47931,17.1,0.02,0.5,28.96,711.0
Federal University of São Paulo (UNIFESP),Brazil,2019,601,800,33.4,26.0,33.9,19.7,45.8,35.0,27.0,13520,8.6,0.01,0.6,32.72,621.0
Federico Santa María Technical University,Chile,2019,601,800,33.4,26.0,12.1,10.2,50.4,44.3,54.4,19273,27.9,0.03,0.24,26.997500000000002,768.0
Fordham University,United States,2019,601,800,33.4,26.0,41.0,23.2,34.5,34.7,36.9,12646,12.5,0.15,0.59,33.245,607.0
Fuzhou University,China,2019,601,800,33.4,26.0,15.4,11.3,53.6,44.8,22.9,34664,16.6,0.01,0.42,26.9275,773.0
Glasgow Caledonian University,United Kingdom,2019,601,800,33.4,26.0,18.0,13.1,55.8,34.8,59.2,12986,20.1,0.18,0.59,31.38,645.0
University of Granada,Spain,2019,601,800,33.4,26.0,23.5,19.0,48.3,35.0,47.0,52989,14.9,0.1,0.57,31.639999999999997,642.0
University of Greenwich,United Kingdom,2019,601,800,33.4,26.0,16.0,13.6,41.0,34.9,87.9,14579,17.9,0.35,0.57,28.645,721.0
University of Haifa,Israel,2019,601,800,33.4,26.0,24.9,30.8,38.0,36.2,35.5,17848,30.6,0.02,0.66,31.677500000000002,641.0
University of Hertfordshire,United Kingdom,2019,601,800,33.4,26.0,16.5,12.8,45.1,34.8,79.2,17555,17.6,0.28,0.54,29.130000000000003,707.0
Hiroshima University,Japan,2019,601,800,33.4,26.0,28.4,20.4,32.5,50.4,29.6,14875,8.6,0.07,0.37,27.87,744.0
Huazhong Agricultural University,China,2019,601,800,33.4,26.0,20.9,14.9,47.2,45.3,20.2,26178,17.9,0.02,0.53,27.5475,755.0
University of Huddersfield,United Kingdom,2019,601,800,33.4,26.0,20.7,18.0,43.1,36.0,70.5,15055,21.5,0.26,0.55,30.7275,659.0
University of Ibadan,Nigeria,2019,601,800,33.4,26.0,25.0,12.1,44.7,41.2,34.5,25416,15.6,0.01,0.46,28.1575,737.0
Ilmenau University of Technology,Germany,2019,601,800,33.4,26.0,26.7,11.8,30.7,40.3,58.6,6253,8.0,0.2,0.27,26.162499999999998,794.0
"Indian Institute of Science Education and Research, Pune",India,2019,601,800,33.4,26.0,27.5,15.0,59.7,34.3,19.5,1130,8.5,,0.33,32.980000000000004,615.0
Indian Institute of Technology Bhubaneswar,India,2019,601,800,33.4,26.0,19.1,10.3,64.8,35.6,17.4,1016,9.4,,0.15,30.455,669.0
Indian Institute of Technology Guwahati,India,2019,601,800,33.4,26.0,29.5,19.3,39.7,37.5,15.0,5592,13.2,0.01,0.17,28.6125,722.0
Indian Institute of Technology Hyderabad,India,2019,601,800,33.4,26.0,26.4,18.0,44.6,39.6,16.8,1969,11.7,,0.2,28.95,712.0
Indian Institute of Technology Madras,India,2019,601,800,33.4,26.0,41.5,25.4,27.0,69.1,18.4,9013,15.8,0.01,0.2,31.2775,649.0
University of Indonesia,Indonesia,2019,601,800,33.4,26.0,36.2,17.5,18.8,83.1,52.9,41144,10.1,0.08,0.6,27.795,747.0
University of Ioannina,Greece,2019,601,800,33.4,26.0,15.9,17.1,63.3,38.7,43.2,22492,44.3,0.03,0.56,33.0975,610.0
Iran University of Science and Technology,Iran,2019,601,800,33.4,26.0,25.4,26.8,42.7,66.3,15.8,14208,33.5,,0.31,31.312499999999996,647.0
ISCTE-University Institute of Lisbon,Portugal,2019,601,800,33.4,26.0,25.5,24.9,25.0,37.3,49.1,8866,25.2,0.13,0.49,27.235,761.0
Isfahan University of Technology,Iran,2019,601,800,33.4,26.0,24.1,22.0,43.5,85.7,20.6,9816,20.7,0.01,0.43,30.567500000000003,664.0
Istanbul Technical University,Turkey,2019,601,800,33.4,26.0,23.6,27.1,32.9,100.0,26.1,34594,22.8,0.04,0.34,29.537499999999998,696.0
Jadavpur University,India,2019,601,800,33.4,26.0,36.1,20.9,29.4,39.1,15.0,11515,17.5,0.01,0.32,28.0225,740.0
Jagiellonian University,Poland,2019,601,800,33.4,26.0,22.3,15.4,50.7,34.8,35.5,42131,11.5,0.07,0.67,30.052500000000006,676.0
Jaume I University,Spain,2019,601,800,33.4,26.0,21.6,15.0,55.5,36.8,41.8,12581,16.5,0.09,0.58,31.685000000000002,640.0
University of Johannesburg,South Africa,2019,601,800,33.4,26.0,19.3,26.0,36.9,40.2,60.4,25515,24.0,0.09,0.55,30.194999999999997,674.0
Juntendo University,Japan,2019,601,800,33.4,26.0,35.6,13.7,28.2,48.4,20.6,4407,3.8,0.02,0.52,26.005000000000003,799.0
Kafrelsheikh University,Egypt,2019,601,800,33.4,26.0,11.2,7.4,63.8,38.2,46.3,66990,40.7,0.01,0.51,29.1475,705.0
Kansas State University,United States,2019,601,800,33.4,26.0,24.0,19.8,47.1,41.3,45.2,21970,14.6,0.09,0.5,31.692500000000003,639.0
Kazan Federal University,Russian Federation,2019,601,800,33.4,26.0,25.1,18.3,52.7,40.1,34.3,26021,10.8,0.11,0.68,32.404999999999994,627.0
Universiti Kebangsaan Malaysia,Malaysia,2019,601,800,33.4,26.0,34.3,21.4,18.4,36.2,43.3,18904,11.1,0.14,0.6,26.382499999999997,788.0
Keio University,Japan,2019,601,800,33.4,26.0,31.6,24.8,34.9,42.3,29.9,34740,10.6,0.07,0.35,30.69,660.0
Kindai University,Japan,2019,601,800,33.4,26.0,18.9,10.7,52.2,39.2,21.9,32322,13.5,0.02,0.3,27.162499999999998,764.0
King Fahd University of Petroleum and Minerals,Saudi Arabia,2019,601,800,33.4,26.0,28.7,15.4,36.7,65.0,83.8,6427,6.3,0.18,0.0,32.150000000000006,636.0
Kingston University,United Kingdom,2019,601,800,33.4,26.0,18.0,16.7,29.0,34.4,83.1,16545,20.3,0.36,0.56,26.202499999999997,792.0
Kobe University,Japan,2019,601,800,33.4,26.0,32.8,19.8,30.2,46.1,26.1,15786,7.7,0.07,0.35,27.949999999999996,741.0
Konkuk University,South Korea,2019,601,800,33.4,26.0,33.3,34.3,24.6,47.9,44.7,14173,26.7,0.14,0.59,32.209999999999994,634.0
University of Las Palmas de Gran Canaria,Spain,2019,601,800,33.4,26.0,29.4,10.9,35.1,34.0,34.1,18532,16.4,0.07,0.56,26.0275,798.0
Lebanese American University,Lebanon,2019,601,800,33.4,26.0,30.5,9.6,44.4,34.0,86.9,7734,13.6,0.19,0.51,32.7175,622.0
University of Leoben,Austria,2019,601,800,33.4,26.0,28.3,11.8,37.8,54.5,70.6,3103,6.1,0.16,0.23,30.027499999999996,677.0
University of Lincoln,United Kingdom,2019,601,800,33.4,26.0,15.4,13.1,44.1,34.9,68.3,11477,15.8,0.14,0.55,27.775,748.0
University of Ljubljana,Slovenia,2019,601,800,33.4,26.0,23.2,17.4,40.1,38.1,40.2,40834,15.2,0.05,0.6,28.177500000000002,735.0
University of Lorraine,France,2019,601,800,33.4,26.0,20.3,12.8,59.6,39.6,60.1,57103,19.0,0.15,0.52,33.3075,604.0
Louisiana Tech University,United States,2019,601,800,33.4,26.0,17.7,10.5,53.0,34.5,33.6,11138,27.4,0.04,0.45,27.7425,749.0
Mahidol University,Thailand,2019,601,800,33.4,26.0,29.1,18.2,44.8,74.7,45.6,28611,10.2,0.04,0.64,32.917500000000004,616.0
Manchester Metropolitan University,United Kingdom,2019,601,800,33.4,26.0,18.0,13.2,45.3,34.2,62.5,27732,15.4,0.16,0.58,28.492499999999996,726.0
