inst_id,date_key,ncses_inst_id,unitid,federal_government,state_and_local_government,business,nonprofit_organizations,institutional_funds,other_sources,total_rd_expenses,medical_school_expenses,non_medical_rd
2014,20170630,U1725006,159373,28018000,781000,2082000,3081000,6383000,440000,40785000,30522000,10263000
2015,20170630,U1725010,159939,5568000,1843000,833000,195000,7120000,380000,15939000,0,15939000
2017,20170630,U1852001,159717,103000,38000,0,45000,1281000,0,1467000,0,1467000
2020,20170630,U3318001,159993,1838000,196000,0,163000,91000,9000,2297000,0,2297000
2021,20170630,U2351001,160038,458000,763000,0,0,152000,0,1373000,0,1373000
2024,20170630,U2914001,160612,1215000,173000,2000,166000,643000,7000,2206000,0,2206000
2025,20170630,U2936002,160621,2866000,157000,81000,0,939000,0,4043000,0,4043000
2029,20170630,U3198001,160755,93970000,4145000,5279000,16189000,50348000,11062000,180993000,60676000,120317000
2031,20170630,U3317001,160658,23895000,9581000,9689000,8615000,49166000,10000,100956000,0,100956000
2032,20170630,U3712001,160904,10939000,495000,0,70000,920000,0,12424000,0,12424000
2036,20170630,U0371001,160977,1053000,22000,0,178000,498000,102000,1853000,0,1853000
2038,20170630,U0453001,161004,1812000,6000,1000,168000,353000,0,2340000,0,2340000
2039,20170630,U0729001,161086,1048000,36000,0,0,467000,520000,2071000,0,2071000
2050,20170630,U3361001,161457,5918000,53000,164000,439000,1483000,7000,8064000,1582000,6482000
2053,20170630,U3320001,161253,37321000,19851000,4943000,2251000,34224000,912000,99502000,0,99502000
2062,20170630,U0454001,162007,1813000,0,0,0,0,0,1813000,0,1813000
2083,20170630,U2009001,163453,13328000,482000,621000,162000,293000,92000,14978000,0,14978000
2091,20170630,U2721001,163851,2203000,2620000,4000,125000,2779000,0,7731000,0,7731000
2099,20170630,U3162001,164076,1599000,81000,93000,215000,836000,10000,2834000,0,2834000
2101,20170630,U3227001,164155,12963000,0,0,230000,348000,0,13541000,0,13541000
2102,20170630,U3264001,161873,4289000,1534000,32000,802000,0,194000,6851000,0,6851000
2103,20170630,U3330004,163286,369651000,18112000,8177000,13416000,136319000,3210000,548885000,0,548885000
2104,20170630,U3331001,163259,220911000,26227000,26445000,34830000,116312000,2170000,426895000,379464000,47431000
2105,20170630,U3330001,163268,52014000,2207000,1529000,844000,13547000,265000,70406000,0,70406000
2106,20170630,U3334001,163338,7265000,18000,67000,53000,0,0,7403000,0,7403000
2115,20170630,U0225001,164465,1228000,0,0,211000,2079000,552000,4070000,0,4070000
2121,20170630,U0343001,164580,0,0,195000,202000,872000,580000,1849000,0,1849000
2124,20170630,U0402001,164739,110000,0,0,452000,0,0,562000,0,562000
2128,20170630,U0447001,164924,30448000,1851000,476000,11374000,13453000,486000,58088000,0,58088000
2130,20170630,U0450001,164988,259832000,270000,14781000,21020000,121337000,4120000,421360000,145924000,275436000
2133,20170630,U0461001,165015,46108000,208000,586000,10758000,9147000,1630000,68437000,0,68437000
2139,20170630,U0702001,165334,2513000,445000,147000,738000,4550000,60000,8453000,0,8453000
2155,20170630,U1300001,166027,573157000,2336000,46993000,149979000,334024000,16671000,1123160000,324215000,798945000
2161,20170630,U3340001,166513,29471000,2583000,4841000,1454000,31014000,314000,69677000,0,69677000
2165,20170630,U1821001,166656,229000,0,9000,0,471000,11000,720000,0,720000
2178,20170630,U1824001,166683,487434000,1797000,171318000,97284000,101155000,93029000,952017000,0,952017000
2192,20170630,U2020001,166939,3168000,0,0,173000,294000,0,3635000,0,3635000
2199,20170630,U2320001,167358,93572000,1341000,8917000,6685000,31193000,641000,142349000,0,142349000
2209,20170630,U2844001,167835,3449000,489000,20000,904000,1193000,0,6055000,0,6055000
2210,20170630,U3339001,167987,7370000,1976000,557000,861000,15104000,234000,26102000,0,26102000
2219,20170630,U3197001,168148,139532000,4086000,12079000,28618000,33213000,5881000,223409000,53708000,169701000
2221,20170630,U3336001,166629,108871000,21257000,8016000,5349000,65698000,1225000,210416000,0,210416000
2222,20170630,U3337001,166638,29934000,6990000,1279000,3541000,27949000,326000,70019000,0,70019000
2224,20170630,U3582001,168218,3815000,353000,69000,3699000,0,2390000,10326000,0,10326000
2226,20170630,U3623001,168254,214000,10000,241000,49000,96000,0,610000,0,610000
2229,20170630,U4733001,168342,1703000,0,0,318000,1379000,1827000,5227000,0,5227000
2230,20170630,R3700001,166610,148491000,1519000,3340000,10162000,25789000,4787000,194088000,0,194088000
2233,20170630,U3702001,168421,19566000,88000,4203000,866000,8506000,139000,33368000,0,33368000
2241,20170630,U0520001,169080,880000,0,84000,402000,0,90000,1456000,0,1456000
2243,20170630,U0602001,169248,5557000,292000,222000,506000,7613000,462000,14652000,3048000,11604000
2259,20170630,U0981001,169798,1474000,33000,109000,209000,4427000,29000,6281000,0,6281000
2262,20170630,U1604001,169983,2105000,104000,387000,78000,1352000,207000,4233000,0,4233000
2268,20170630,U1241001,170082,1543000,169000,0,1639000,3077000,489000,6917000,0,6917000
2273,20170630,U1367001,170301,1169000,0,0,1701000,355000,0,3225000,0,3225000
2279,20170630,U1662001,170675,767000,149000,571000,419000,36000,0,1942000,0,1942000
2290,20170630,U1901001,171100,343751000,45668000,11729000,20449000,257341000,15979000,694917000,65126000,629791000
2292,20170630,U1903001,171128,28483000,708000,6112000,455000,33358000,2513000,71629000,0,71629000
2301,20170630,U2327001,171456,304000,61000,19000,25000,903000,27000,1339000,0,1339000
2307,20170630,U2368001,171571,6418000,207000,788000,155000,6843000,150000,14561000,9000,14552000
2314,20170630,U2694001,172051,621000,27000,1000,88000,669000,0,1406000,0,1406000
2323,20170630,U3286001,169716,2296000,0,18000,11000,423000,0,2748000,0,2748000
2325,20170630,U3345002,170976,829695000,2698000,82898000,64646000,537176000,13026000,1530139000,589994000,940145000
2326,20170630,U3345005,171137,1930000,0,1747000,179000,4361000,98000,8315000,0,8315000
2327,20170630,U3345007,171146,219000,51000,168000,19000,1004000,5000,1466000,0,1466000
2329,20170630,U3574001,172644,109421000,4380000,9150000,19397000,80491000,4889000,227728000,151929000,75799000
2334,20170630,U0326001,173045,641000,0,0,0,402000,98000,1141000,0,1141000
2340,20170630,U0543001,173258,3366000,95000,0,886000,1907000,634000,6888000,0,6888000
2345,20170630,U3428001,174914,212000,249000,117000,195000,415000,53000,1241000,0,1241000
2358,20170630,U1758001,173902,970000,137000,0,42000,767000,0,1916000,0,1916000
2360,20170630,U1946002,173920,605000,215000,0,143000,1163000,345000,2471000,0,2471000
2377,20170630,U2985001,174783,555000,412000,628000,689000,1304000,0,3588000,0,3588000
2379,20170630,U2699001,174792,0,0,0,0,1267000,0,1267000,0,1267000
2382,20170630,U3015001,174844,797000,1000,0,136000,605000,0,1539000,0,1539000
2388,20170630,U3346003,174233,6033000,5511000,713000,37000,12533000,129000,24956000,0,24956000
2389,20170630,U3346010,174251,294000,12000,2000,5000,661000,0,974000,0,974000
2396,20170630,U0071001,175342,8634000,15000,274000,34000,7172000,0,16129000,0,16129000
2410,20170630,U1532001,175856,20136000,0,0,581000,2004000,69000,22790000,0,22790000
2423,20170630,U1958001,176080,87928000,78646000,4434000,7812000,59689000,2463000,240972000,0,240972000
2439,20170630,U3158001,176406,3030000,0,0,0,0,0,3030000,0,3030000
2441,20170630,U3425001,176372,27661000,13687000,8386000,1259000,10610000,56000,61659000,0,61659000
2477,20170630,U0002001,177834,177000,0,0,473000,132000,0,782000,237000,545000
2479,20170630,U1692001,177940,4148000,1016000,0,0,0,0,5164000,0,5164000
2503,20170630,U1969001,179566,2770000,83000,296000,66000,0,0,3215000,0,3215000
2516,20170630,U3348001,178396,109759000,2384000,4315000,7378000,121951000,8165000,253952000,26547000,227405000
2517,20170630,U1970001,178411,19567000,208000,5083000,835000,11417000,1133000,38243000,0,38243000
2518,20170630,U3348004,178402,11296000,59000,629000,1159000,11410000,570000,25123000,4899000,20224000
2519,20170630,U3348005,178420,5240000,139000,128000,1280000,4763000,492000,12042000,0,12042000
2520,20170630,U3564001,179867,474446000,3344000,63988000,75579000,131080000,6025000,754462000,662666000,91796000
2531,20170630,U1990001,180416,5019000,6045000,346000,0,1649000,0,13059000,0,13059000
2532,20170630,U1989003,180461,74788000,10601000,2679000,3477000,35312000,2765000,129622000,0,129622000
2536,20170630,U3351001,180489,44534000,4643000,409000,2045000,29391000,4022000,85044000,0,85044000
2542,20170630,U0867001,181002,7946000,4766000,2121000,717000,8093000,672000,24315000,18370000,5945000
2551,20170630,U3357001,181215,1047000,1281000,0,30000,1096000,56000,3510000,0,3510000
2554,20170630,U3358001,181394,7486000,1146000,20000,102000,3250000,57000,12061000,0,12061000
2565,20170630,U3359001,181464,101532000,57369000,17183000,4356000,113175000,8589000,302204000,0,302204000
2568,20170630,U3360004,182290,54782000,19565000,1674000,1176000,25275000,3397000,105869000,24092000,81777000
2569,20170630,U3360001,182281,29172000,3409000,763000,538000,29833000,2570000,66285000,0,66285000
2573,20170630,U0895001,182670,137448000,1345000,7689000,10844000,143601000,7518000,308445000,162914000,145531000
2589,20170630,U3362001,183044,92338000,4494000,8084000,6024000,32571000,1864000,145375000,0,145375000
2591,20170630,U2532001,183080,827000,1000,9000,120000,87000,87000,1131000,0,1131000
2609,20170630,U2679001,184782,7110000,865000,1162000,966000,2753000,0,12856000,5182000,7674000
2613,20170630,U2228001,185129,2048000,3027000,0,0,367000,0,5442000,0,5442000
2617,20170630,U1992001,185590,2163000,823000,0,2747000,63000,0,5796000,0,5796000
2621,20170630,U2229001,185828,79397000,4073000,1995000,4643000,48687000,3369000,142164000,0,142164000
2625,20170630,U3671001,187444,476000,23000,40000,48000,2425000,0,3012000,0,3012000
2627,20170630,U2566001,186131,176029000,899000,9950000,24136000,110999000,4194000,326207000,0,326207000
2628,20170630,U2639001,186283,172000,29000,0,19000,1345000,0,1565000,0,1565000
2631,20170630,U2684006,186399,16617000,1288000,407000,1183000,6370000,33000,25898000,0,25898000
2632,20170630,U2801001,186584,1982000,2280000,1020000,1990000,0,0,7272000,0,7272000
2639,20170630,U3063001,186867,26855000,1130000,1880000,514000,4379000,386000,35144000,0,35144000
2642,20170630,U0748001,187134,929000,16000,47000,24000,60000,2000,1078000,0,1078000
2653,20170630,U2234001,187897,1015000,5000,0,0,0,3000,1023000,0,1023000
2654,20170630,U2235001,187967,18358000,379000,1076000,28000,625000,25000,20491000,0,20491000
2663,20170630,U3364001,187985,165128000,3117000,2781000,12868000,60842000,1861000,246597000,97691000,148906000
2681,20170630,U0530001,189705,1459000,0,0,87000,0,0,1546000,0,1546000
2687,20170630,U0686004,190549,5244000,103000,46000,200000,1722000,78000,7393000,0,7393000
2688,20170630,U0686006,190567,35429000,2710000,1414000,738000,13666000,670000,54627000,3200000,51427000
2689,20170630,U0686009,190594,18705000,1967000,133000,1953000,8094000,421000,31273000,0,31273000
2690,20170630,U0686016,190664,11884000,1219000,48000,75000,2710000,0,15936000,0,15936000
2693,20170630,U0686010,190600,4826000,1458000,1975000,330000,2161000,1184000,11934000,0,11934000
2699,20170630,U0705001,190044,6819000,2254000,978000,342000,4591000,164000,15148000,0,15148000
2701,20170630,U0735001,190099,1096000,0,0,331000,1987000,0,3414000,0,3414000
2707,20170630,U0785001,190150,647840000,5758000,62747000,81553000,71307000,23857000,893062000,447088000,445974000
2708,20170630,U0362001,189097,2777000,0,18000,299000,621000,15000,3730000,0,3730000
2722,20170630,U1118001,191241,5761000,95000,171000,1157000,12688000,935000,20807000,0,20807000
2728,20170630,U1277001,191515,135000,0,0,921000,1263000,35000,2354000,0,2354000
2731,20170630,U1356001,191630,528000,101000,1000,41000,281000,0,952000,0,952000
2732,20170630,U1358001,191649,1471000,18000,9000,32000,172000,0,1702000,0,1702000
2780,20170630,U2242001,193654,2345000,67000,265000,5112000,2953000,1998000,12740000,0,12740000
2784,20170630,U2252001,193830,9000000,17000,3968000,1635000,293000,724000,15637000,15637000,0
2785,20170630,U2257001,193900,391144000,17122000,34046000,77973000,248294000,149165000,917744000,581035000,336709000
2788,20170630,U2266001,193973,181000,551000,0,274000,816000,1000,1823000,0,1823000
2803,20170630,U2621001,194824,51130000,5909000,9440000,4150000,34168000,0,104797000,0,104797000
2806,20170630,U2655001,195003,27311000,4415000,2296000,1071000,15651000,519000,51263000,0,51263000
2807,20170630,U2657001,195049,86763000,314000,4899000,17868000,208708000,485000,319037000,0,319037000
2814,20170630,U2841001,195526,1194000,0,0,185000,480000,0,1859000,0,1859000
2816,20170630,U2824001,195474,938000,37000,0,73000,377000,0,1425000,0,1425000
2823,20170630,U2994001,195809,1020000,0,304000,57000,1160000,1000,2542000,0,2542000
